profile,skills
data_scientist,"hadoop, spark, sql, scala, linux, java, bash, aws, mongodb, python, github"
data_scientist,"hadoop, java, bash, linux, time_series, github, sql, scala, spark, git"
data_scientist,"hadoop, spark, tableau, linux, scala, bash, sql"
data_scientist,"hadoop, spark, mongodb, java, python, sql, nodejs, scikit-learn, snowflake, tableau, jupyter, docker, scala, linux, airflow"
data_scientist,"hadoop, bash, sql, aws, python, linux, snowflake, scala, spark, nodejs"
data_scientist,"hadoop, spark, scikit-learn, java, javascript, python, scala, azure, bayesian_inference, csharp, linux, cpp, aws, r"
data_scientist,"hadoop, sql, spark, linux, scala, snowflake, java, airflow"
data_scientist,"sql, airflow, linux, bash, snowflake, git"
data_scientist,"airflow, linux, sql, snowflake"
data_scientist,"sql, airflow, snowflake, spark, aws, git"
data_scientist,"airflow, linux, sql, snowflake"
data_scientist,"sql, airflow, linux, bash, snowflake, git"
data_scientist,"airflow, linux, sql, snowflake"
data_scientist,"sql, airflow, snowflake, spark, aws, git"
data_scientist,"airflow, linux, sql, snowflake"
data_scientist,"sql, airflow, linux, bash, snowflake, git"
data_scientist,"airflow, linux, sql, snowflake"
data_scientist,"sql, airflow, snowflake, spark, aws, git"
data_scientist,"airflow, linux, sql, snowflake"
data_scientist,"sql, airflow, linux, bash, snowflake, git"
data_scientist,"airflow, linux, sql, snowflake"
data_scientist,"sql, airflow, snowflake, spark, aws, git"
data_scientist,"airflow, linux, sql, snowflake"
data_scientist,"sql, airflow, linux, bash, snowflake, git"
data_scientist,"airflow, linux, sql, snowflake"
data_scientist,"sql, airflow, snowflake, spark, aws, git"
data_scientist,"airflow, linux, sql, snowflake"
data_scientist,"sql, airflow, linux, bash, snowflake, git"
data_scientist,"airflow, linux, sql, snowflake"
data_scientist,"sql, airflow, snowflake, spark, aws, git"
data_scientist,"airflow, linux, sql, snowflake"
data_scientist,"sql, airflow, linux, bash, snowflake, git"
data_scientist,"airflow, linux, sql, snowflake"
data_scientist,"sql, airflow, snowflake, spark, aws, git"
data_scientist,"airflow, linux, sql, snowflake"
data_scientist,"sql, airflow, linux, bash, snowflake, git"
data_scientist,"airflow, linux, sql, snowflake"
data_scientist,"sql, airflow, snowflake, spark, aws, git"
data_scientist,"airflow, linux, sql, snowflake"
data_scientist,"sql, csharp, angular, javascript"
data_scientist,"csharp, sql, javascript, git, typescript"
data_scientist,"sql, csharp, javascript, scikit-learn"
data_scientist,"sql, csharp, angular, excel"
data_scientist,"sql, csharp, angular, javascript"
data_scientist,"csharp, sql, javascript, git, typescript"
data_scientist,"sql, csharp, javascript, scikit-learn"
data_scientist,"sql, csharp, angular, excel"
data_scientist,"sql, csharp, angular, javascript"
data_scientist,"csharp, sql, javascript, git, typescript"
data_scientist,"sql, csharp, javascript, scikit-learn"
data_scientist,"sql, csharp, angular, excel"
data_scientist,"sql, csharp, angular, javascript"
data_scientist,"csharp, sql, javascript, git, typescript"
data_scientist,"sql, csharp, javascript, scikit-learn"
data_scientist,"sql, csharp, angular, excel"
data_scientist,"nodejs, angular, sql, docker, mongodb, go, javascript, postgresql, react, aws"
data_scientist,"python, django, sql, java, cpp"
data_scientist,"javascript, nodejs, sql, java, angular, react, postgresql, linux, cpp"
data_scientist,"scikit-learn, opencv, aws, python, react, nodejs, java"
data_scientist,"nodejs, angular, sql, docker, mongodb, go, javascript, postgresql, react, aws"
data_scientist,"python, django, sql, java, cpp"
data_scientist,"javascript, nodejs, sql, java, angular, react, postgresql, linux, cpp"
data_scientist,"scikit-learn, opencv, aws, python, react, nodejs, java"
data_scientist,"nodejs, angular, sql, docker, mongodb, go, javascript, postgresql, react, aws"
data_scientist,"python, django, sql, java, cpp"
data_scientist,"javascript, nodejs, sql, java, angular, react, postgresql, linux, cpp"
data_scientist,"scikit-learn, opencv, aws, python, react, nodejs, java"
data_scientist,"nodejs, angular, sql, docker, mongodb, go, javascript, postgresql, react, aws"
data_scientist,"python, django, sql, java, cpp"
data_scientist,"javascript, nodejs, sql, java, angular, react, postgresql, linux, cpp"
data_scientist,"scikit-learn, opencv, aws, python, react, nodejs, java"
data_scientist,"nodejs, angular, sql, docker, mongodb, go, javascript, postgresql, react, aws"
data_scientist,"python, django, sql, java, cpp"
data_scientist,"javascript, nodejs, sql, java, angular, react, postgresql, linux, cpp"
data_scientist,"scikit-learn, opencv, aws, python, react, nodejs, java"
